Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,Backstab,Riposte,Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagger,Dagger,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Parrying Dagger,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Miséricorde,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Great Knife,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Bloodstained Dagger,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Erdsteel Dagger,40.5,40.5,40.5,40.5,40.5,81,40.5 + 40.5,40.5 + 40.5,81 + 162,60.75 + 60.75 + 121.5,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,44.55 + 44.55,44.55 + 44.55,89.1 + 178.2,66.825 + 66.825 + 133.65,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Wakizashi,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,16.2 + 32.4,16.2 + 32.4,16.2 + 32.4,40.5 + 40.5,,,16.2 + 32.4,24.3 + 24.3,32.4 + 16.2,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Celebrant's Sickle,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Ivory Sickle,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Crystal Knife,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Scorpion's Stinger,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Cinquedea,40.5,40.5,40.5,40.5,40.5,81,81,81,243,243,40.5,81,40.5,40.5,60.75,162,243,52.65,52.65,52.65,52.65,52.65,105.3,89.1,89.1,267.3,267.3,52.65,89.1,52.65,52.65,78.975,178.2,267.3,40.5,40.5,40.5,40.5,40.5,81,0,0,,,,,,24.3 + 24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,16.2 + 40.5 + 40.5,,,24.3 + 24.3,24.3 + 24.3,24.3 + 24.3,60.75 + 60.75,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
